County Name,Date,Cases
Erath,03-09-2020,0.0
Falls,03-09-2020,0.0
Fannin,03-09-2020,0.0
Fayette,03-09-2020,0.0
Fisher,03-09-2020,0.0
Floyd,03-09-2020,0.0
Foard,03-09-2020,0.0
Fort Bend,03-09-2020,6.0
Franklin,03-09-2020,0.0
Freestone,03-09-2020,0.0
Frio,03-09-2020,0.0
Gaines,03-09-2020,0.0
Galveston,03-09-2020,0.0
Garza,03-09-2020,0.0
Gillespie,03-09-2020,0.0
Glasscock,03-09-2020,0.0
Goliad,03-09-2020,0.0
Gonzales,03-09-2020,0.0
Gray,03-09-2020,0.0
Grayson,03-09-2020,0.0
Gregg,03-09-2020,0.0
Grimes,03-09-2020,0.0
Guadalupe,03-09-2020,0.0
Hale,03-09-2020,0.0
Hall,03-09-2020,0.0
Hamilton,03-09-2020,0.0
Hansford,03-09-2020,0.0
Hardeman,03-09-2020,0.0
Hardin,03-09-2020,0.0
Harris,03-09-2020,5.0
Harrison,03-09-2020,0.0
Hartley,03-09-2020,0.0
Haskell,03-09-2020,0.0
Hays,03-09-2020,0.0
